EmScan10 (QY),,,,,,,
QY = 88.9%,,,,,,,
Labels,EmScan10,EmScan9,EmScan9 Scaled,,,,
Type,Emission Scan,Emission Scan,Emission Scan,,,,
Comment,,,,,,,
Start,480,480,480,,,,
Stop,700,700,700,,,,
Step,1,1,1,,,,
Fixed/Offset,500,500,500,,,,
Xaxis,Wavelength,Wavelength,Wavelength,,,,
Yaxis,Counts,Counts,Counts,,,,
Scan Corr. by File,True,True,True,,,,
Corr. by Ref. Det.,True,True,True,,,,
Fixed/Offset Corr. by File,False,False,False,,,,
Repeats,1,1,1,,,,
Dwell Time,0.5,0.5,0.5,,,,
Lamp,Xe,Xe,Xe,,,,
Temp,0,0,0,,,,
Scan Polariser,None,None,None,,,,
Scan Slit,0.39046875,0.39046875,0.39046875,,,,
Fixed/Offset Polariser,None,None,None,,,,
Fixed/Offset Slit,2.0004687,2.0004687,2.0004687,,,,
Detector,R928P,R928P,R928P,,,,
,,,,,,muestra,solvente
539,1.16E+03,3.61E+01,1.44E+01,,3.67347E-24,1.70E+25,2.13E+23
540,1.35E+03,4.13E+01,1.65E+01,,3.66667E-24,2.00E+25,2.44E+23
541,1.61E+03,5.31E+01,2.12E+01,,3.65989E-24,2.40E+25,3.15E+23
542,1.78E+03,5.54E+01,2.21E+01,,3.65314E-24,2.66E+25,3.30E+23
543,2.11E+03,4.56E+01,1.82E+01,,3.64641E-24,3.15E+25,2.73E+23
544,2.31E+03,4.38E+01,1.75E+01,,3.63971E-24,3.46E+25,2.63E+23
545,2.57E+03,5.64E+01,2.25E+01,,3.63303E-24,3.88E+25,3.39E+23
546,2.90E+03,5.31E+01,2.12E+01,,3.62637E-24,4.39E+25,3.21E+23
547,3.31E+03,4.51E+01,1.80E+01,,3.61974E-24,5.02E+25,2.74E+23
548,3.54E+03,4.54E+01,1.81E+01,,3.61314E-24,5.39E+25,2.76E+23
549,4.05E+03,3.99E+01,1.59E+01,,3.60656E-24,6.19E+25,2.44E+23
