,muestra,solvente
3.23002E-24,3.57489E+25,5.65199E+23
3.22476E-24,3.62707E+25,6.07913E+23
3.21951E-24,3.32882E+25,3.38163E+23
3.21429E-24,3.28815E+25,2.75361E+23
3.20908E-24,3.15947E+25,1.67463E+23
3.20388E-24,2.94535E+25,3.52192E+23
3.19871E-24,2.89948E+25,3.37964E+23
3.19355E-24,2.74551E+25,2.26372E+23
3.18841E-24,2.60771E+25,2.62349E+23
3.18328E-24,2.57753E+25,2.65979E+23
3.17817E-24,2.57783E+25,3.16709E+23
3.17308E-24,2.45269E+25,3.27909E+23
3.168E-24,2.33449E+25,2.35586E+23
3.16294E-24,2.2641E+25,2.39008E+23
3.15789E-24,2.15006E+25,2.85229E+23
3.15287E-24,2.10496E+25,2.8204E+23
3.14785E-24,2.06126E+25,2.49468E+23
3.14286E-24,1.9668E+25,2.16026E+23
3.13788E-24,1.89253E+25,2.26857E+23
3.13291E-24,1.80617E+25,3.14741E+23
3.12796E-24,1.69052E+25,2.49492E+23
3.12303E-24,1.6492E+25,3.16844E+23
3.11811E-24,1.69704E+25,2.57613E+23
3.11321E-24,1.57916E+25,2.61828E+23
3.10832E-24,1.59073E+25,1.74767E+23
3.10345E-24,1.499E+25,2.8811E+23
3.09859E-24,1.51227E+25,2.24632E+23
3.09375E-24,1.36288E+25,2.82408E+23
3.08892E-24,1.36065E+25,2.52646E+23
3.08411E-24,1.32413E+25,2.20917E+23
3.07932E-24,1.37248E+25,1.40397E+23
3.07453E-24,1.39425E+25,2.27816E+23
3.06977E-24,1.21228E+25,1.63556E+23
3.06502E-24,1.16044E+25,3.02145E+23
3.06028E-24,1.14928E+25,6.90943E+22
3.05556E-24,1.11405E+25,2.49814E+23
3.05085E-24,1.15858E+25,1.82069E+23
3.04615E-24,1.20175E+25,3.17495E+23
3.04147E-24,1.01185E+25,2.48882E+23
3.03681E-24,9.32328E+24,2.30849E+23
3.03216E-24,1.04657E+25,1.69842E+23
3.02752E-24,9.18116E+24,2.14815E+23
3.0229E-24,9.34607E+24,1.52174E+23
3.01829E-24,9.68402E+24,2.09071E+23
3.0137E-24,8.8885E+24,1.3371E+23
3.00912E-24,8.48241E+24,2.59553E+23
3.00455E-24,8.03495E+24,2.28624E+23
3E-24,9.97701E+24,2.54641E+23
2.99546E-24,8.74766E+24,3.3981E+23
2.99094E-24,7.42426E+24,9.4936E+22
2.98643E-24,7.82719E+24,2.40448E+23
2.98193E-24,6.8387E+24,2.19351E+23
2.97744E-24,7.97475E+24,2.71638E+23
2.97297E-24,7.21153E+24,1.75128E+23
2.96852E-24,7.07822E+24,3.80164E+22
2.96407E-24,7.17361E+24,1.9265E+23
2.95964E-24,8.10825E+24,2.73508E+23
2.95522E-24,5.85301E+24,3.96332E+22
2.95082E-24,6.27866E+24,3.21634E+23
2.94643E-24,6.71794E+24,2.17522E+23
2.94205E-24,7.02713E+24,2.89634E+23
2.93769E-24,5.33725E+24,2.65844E+23
2.93333E-24,6.03195E+24,2.12919E+23
2.92899E-24,5.78611E+24,2.15981E+23
2.92467E-24,5.23247E+24,1.60661E+23
2.92035E-24,5.15775E+24,2.52012E+23
2.91605E-24,5.81687E+24,1.95751E+23
2.91176E-24,6.12193E+24,3.10741E+23
